tract,whitexhispanic,povxnopov
55133203304,7.72202E-05,0.000131473
55079020700,0.000363191,0.002327231
55079170200,0.00027204,0.000765288
55133200201,3.27964E-05,0.000920368
55131460102,7.22433E-05,0.000555488
55079186600,0.000308154,0.001523899
55133200102,0.00011691,0.000540901
55133204100,0.000108727,0.000286076
55079000700,3.2231E-05,0.001498666
55079000800,4.73129E-05,0.003672174
55089650300,6.42955E-05,0.000314593
55079120501,0.000269043,0.00119962
55079090300,9.92464E-05,0.000692102
55079019400,0.00033121,0.001674477
55133201505,4.29173E-05,0.000363067
55079019800,0.000514821,0.00175839
55133203402,6.40396E-05,0.00104273
55133203703,0.000128598,0.000355029
55133203303,4.60027E-05,0.000500065
55079007300,6.94018E-05,0.002777858
55079140100,4.86754E-05,0.001074696
55079180100,0.000233123,0.001565436
55079008800,5.60541E-07,0.002508034
55131420401,4.45434E-05,0.000607779
55079018500,0.000209476,8.73363E-05
55079170500,0.000152114,0.001059873
55079187000,8.97106E-05,0.002494973
55079019900,0.000407981,0.001188465
55131450103,9.14722E-05,0.000323973
55133204003,0.000120228,0.001324648
55079110100,0.000622082,0.002876837
55089990000,0,0
55133202002,8.77309E-05,0.000602298
55133204501,4.85633E-05,1.9585E-05
55133204400,3.59359E-05,7.30324E-05
55079012300,9.36229E-06,0.000971775
55133203405,7.79215E-05,0.000616327
55079185300,9.58148E-05,0.000939213
55133201404,6.65718E-05,0.00020868
55079005400,0.000134368,0.002425275
55133203102,0.000392888,0.001473553
55079020600,0.000384432,0.000871309
55079000501,8.32286E-05,0.00129338
55079018700,0.000487444,0.003107921
55089660201,6.95775E-05,0.000299271
55079006000,4.87495E-06,0.002609132
55079185600,9.44644E-06,0.002551385
55079006500,4.11434E-07,0.002850186
55079006200,1.66033E-06,0.00373445
55133201800,2.87764E-05,0.000296168
55079019300,0.00022965,0.000329469
55079185700,2.10024E-06,0.002422735
55079007200,0.000200153,0.001677224
55079012800,0.000187656,0.002013417
55133204301,7.28389E-05,7.33352E-05
55079000304,4.91093E-05,0.001294481
55079005500,0.000107221,0.000485469
55079002400,1.76039E-06,0.002452409
55133200101,8.82353E-05,0.000723039
55133201102,9.98378E-05,0.00020295
55079187300,0.000221598,0.000820257
55079005100,2.34672E-05,0.003340184
55079180500,0.000301131,0.001458298
55133204004,5.1696E-05,0.000313883
55131410100,0.000105031,0.001100167
55133202201,0.000210325,0.000846327
55079001500,1.45106E-05,0.00327605
55079101600,0.000524193,0.001798514
55079019700,0.000485552,0.002741352
55079016400,0.000330667,0.004919524
55079060101,0.000107422,0.001271591
55079020900,0.000248954,0.000663154
55079000303,4.60846E-05,0.001232463
55079016900,0.00040599,0.005593159
55079091400,7.07603E-05,0.001158362
55079013500,1.77903E-05,0.0023504
55079007100,0.000167428,0.001709921
55079091100,8.27654E-05,0.000943266
55079004400,2.8176E-05,0.004537373
55079100800,0.000102615,0.001011862
55079019500,0.000264928,0.001234116
55079007800,9.00593E-05,0.003799194
55079014400,8.05607E-05,0.00110346
55079185900,8.90748E-07,0.001127187
55079001300,2.37713E-05,0.004648904
55079101300,0.000154901,0.001389655
55079018800,0.000217198,0.002265986
55079011000,0.00010683,0.001863342
55131470204,6.48023E-05,0.000179951
55079100400,0.00016948,0.001635243
55079100600,0.000109868,0.000562244
55089660303,7.59513E-05,0.000456558
55133200801,6.45679E-05,0.000102579
55089630100,8.45597E-05,0.001213168
55079009700,9.82046E-07,0.002444729
55079120101,0.000156293,0.000810264
55133203702,0.000130932,0.000252279
55079017000,0.000797305,0.006607437
55089610101,8.47256E-05,0.001475484
55079100900,0.00021418,0.002268928
55133202103,0.000115116,0.000246191
55079009600,4.5684E-06,0.002297211
55079003900,1.80976E-06,0.001861001
55079001400,1.11437E-05,0.003118135
55133201506,8.51405E-05,0.000610936
55079016600,0.000242373,0.002859744
55079007900,0.000123705,0.001557474
55079005700,5.764E-05,0.000483166
55079004900,2.18979E-05,0.003651578
55079090200,3.1627E-05,0.000407113
55079005900,4.83867E-05,0.003201495
55079120502,0.000337241,0.001640677
55079186900,5.37188E-05,0.000804592
55079160204,0.000299027,0.001783749
55079018000,0.000262775,0.000714939
55133201000,0.000104205,0.000745212
55079017500,0.00041313,0.004208846
55131420300,0.000243895,0.003419775
55079021700,0.000651033,0.002078846
55079030100,0.000101032,0.000608782
55079017600,0.000355872,0.003582236
55079020200,0.00057572,0.001066093
55079186000,2.99539E-06,0.001758834
55079100200,0.000431543,0.002643158
55133202800,0.000777581,0.002689087
55079008000,0.000202512,0.002668573
55131400103,6.03719E-05,0.00063917
55079000202,9.06783E-05,0.004454768
55133203101,0.00026618,0.000478359
55079003100,1.37949E-05,0.002394933
55133200500,7.70076E-05,0.000281539
55079100300,0.000300711,0.002229124
55089660100,7.76677E-05,0.000553081
55079035100,3.27143E-05,0.000299861
55131420103,0.000118617,0.001250092
55079090900,0.000112243,0.000382809
55079007500,5.50452E-05,0.001941782
55079101000,0.000269617,0.001853248
55133203902,0.000120748,0.001219776
55079101200,0.00011199,0.000713
55089660301,9.56589E-05,0.000151276
55079004500,1.43955E-06,0.00379567
55079020800,0.00017559,0.001249281
55131470100,7.46745E-05,0.000872639
55133203901,0.000139267,0.001093772
55079011200,9.05564E-05,0.002047408
55089620100,0.000150654,0.001721866
55079003200,1.16143E-05,0.00195371
55079040100,5.02817E-05,0.000210042
55079004200,1.82194E-06,0.003111153
55133203103,0.00051159,0.001242187
55079013700,1.39346E-05,0.002116402
55133202202,0.000702461,0.004489337
55079018300,0.00019619,0.001179911
55131430100,9.14782E-05,0.001293758
55079120300,0.000204054,0.000191904
55133202901,0.000239955,0.001431042
55079021200,0.000230493,0.000692458
55133203305,8.74315E-05,0.000590745
55079001600,1.84962E-05,0.002994597
55133202301,0.0003306,0.000991078
55079004000,2.07801E-06,0.003343516
55079001000,2.37293E-05,0.001944165
55079012600,0.000151695,0.000908627
55133200300,7.466E-05,0.000940121
55079003600,6.83836E-06,0.000986869
55079015800,0.000260863,0.004066726
55079035200,0.000103414,0.000682297
55133200902,6.08933E-05,0.000237337
55133201703,0.000140104,0.001020967
55079090100,0.00010929,0.000309215
55079000502,2.71556E-05,0.004443106
55079007700,0.00010581,0.004236632
55133202700,0.000163156,0.00122438
55079021400,0.000483348,0.003306553
55079091000,0.000152136,0.000952977
55079000301,2.96662E-05,0.00019049
55079006600,5.26363E-07,0.003662158
55079001200,2.90316E-06,0.003318444
55079005300,6.67835E-05,0.000655079
55133202001,7.76112E-05,0.000900447
55079016700,0.000281896,0.003691611
55079185100,0.000252067,0.002187148
55079160300,0.000502042,0.000465995
55079017400,0.000341818,0.003545333
55133204002,0.000112843,0.000851422
55131450104,9.833E-05,0.000543987
55079186300,7.03305E-05,0.000912571
55079017300,0.000495758,0.00356674
55079050101,0.00014657,0.001346134
55079002900,1.27011E-05,0.00126921
55079007400,0.000143203,0.0014164
55079101700,0.000229122,0.001843011
55079180200,0.000427232,0.003061008
55079004100,2.30669E-06,0.002500203
55079000201,0.000159829,0.005979295
55089660202,0.000118181,0.001944968
55079009900,2.04793E-06,0.001354328
55079021100,0.000146033,0.000209126
55133200103,8.17876E-05,0.001449531
55079019600,0.000275673,0.001249867
55079002500,4.93115E-06,0.002034428
55079150304,0.000132509,0.000882656
55131450106,9.81297E-05,0.001028395
55079160202,0.000433626,0.00322262
55079170600,0.000324999,0.002298395
55079120201,0.000144739,0.000835479
55131400102,0.000102157,0.000624321
55079120102,0.000146067,0.0005977
55079080100,6.92529E-05,0.001097117
55079016000,0.000380842,0.004176147
55079186200,3.15922E-06,0.001113038
55079002600,4.27565E-06,0.001560517
55079090600,0.000154722,0.001195216
55079014600,0.000116851,0.001966992
55079021000,0.000254333,0.000794599
55079120400,0.000635126,0.00231098
55079185800,2.71005E-06,0.001668757
55079091300,7.7406E-05,0.000840081
55079011100,5.9415E-05,0.001269886
55089630202,0.000135734,0.001754985
55133201503,0.000141889,0.000568951
55079080400,7.86655E-05,0.002822246
55079070300,0.000115136,0.000680623
55079016300,0.000421846,0.005302987
55079100700,0.000134247,0.000297246
55079017900,0.000402379,0.00157126
55079014300,7.22014E-05,0.001090292
55079015700,0.000242431,0.003736277
55079010800,9.93015E-05,0.002131744
55079003800,4.27108E-06,0.001819355
55079006900,1.044E-05,0.002686953
55133203804,0.000141477,0.000770312
55079012400,0.000101857,0.000895289
55079060200,0.000165517,0.002295291
55079018900,0.00030746,0.001129629
55089640200,0.000138511,0.000763998
55079008600,7.23058E-08,0.001873761
55079002700,5.20699E-06,0.001769267
55079050102,0.000119831,0.002721288
55079980000,0,0
55079016800,0.000270581,0.003629405
55079000302,1.45531E-05,0.003079044
55079009400,0.000120796,0.001674289
55133203404,8.61261E-05,0.000879981
55133200901,4.22611E-05,0.000449991
55079060102,6.23131E-05,0.00022246
55079018100,9.5941E-05,0.000486185
55079021600,0.00046563,0.004168249
55079120202,0.000243301,0.001172788
55079003400,7.50816E-05,0.004126845
55133202500,0.000392527,0.002514339
55131420402,7.29701E-05,0.000904597
55079012900,0.000296542,0.002255799
55079000102,3.55269E-05,0.001701808
55133203601,8.93007E-05,0.001153929
55079140201,0.000240942,0.00125836
55079018600,0.000405006,0.003322477
55079015900,0.000444358,0.0040432
55079186800,0.000180382,0.001333483
55079006300,8.70455E-07,0.003189964
55079004300,2.91666E-06,0.006147875
55079013400,2.52526E-05,0.003335275
55079012500,7.1174E-05,0.000892891
55133202302,0.001011779,0.004450932
55133202102,0.000228215,0.002041274
55133201402,0.000130435,0.001012856
55079186400,7.60562E-05,0.000629441
55133201701,9.9095E-05,0.000489097
55133200700,7.10506E-05,0.00111603
55079014900,8.16337E-05,0.001752897
55079140202,0.000270498,0.00124412
55079004700,1.09071E-06,0.004957578
55079009800,1.36548E-06,0.001913973
55079010600,3.94647E-05,0.001928875
55079008900,2.80838E-06,0.001486066
55079160100,0.000410115,0.0020202
55133202902,9.3494E-05,0.000761162
55131440105,5.42124E-05,0.000789019
55131420106,0.000114879,0.000816587
55133201704,0.00010775,0.000662734
55079005600,5.08941E-05,0.001127393
55079016500,0.000178863,0.003432777
55079008400,9.65965E-08,0.001631152
55079130100,0.000194325,0.000414203
55079000400,4.55315E-05,0.002417019
55079001900,1.56453E-05,0.003583181
55079020300,0.000784522,0.000476529
55079016100,0.000489014,0.002925748
55133201600,9.62768E-05,0.000598064
55079090800,4.82155E-05,0.000126064
55079002200,2.96392E-05,0.000833436
55079100100,0.000497692,0.002988051
55079020400,0.000556964,0.001603885
55133201504,0.000125486,0.000619148
55079013000,0.000211124,0.001147627
55079101400,0.000206303,0.001594827
55079012700,7.13718E-05,0.000356107
55079020100,0.000632683,0.001709861
55133203306,0.000203598,0.00161116
55133204302,0.000155551,0.001185933
55079009000,1.10485E-06,0.002972946
55079003000,2.86426E-05,0.002254508
55079170700,0.000191045,0.000159697
55079017200,0.000366019,0.002046444
55079006100,5.72986E-06,0.002198866
55133204502,8.23244E-05,0.000751362
55131440200,0.00017527,0.001760015
55089650101,8.74996E-05,0.001207553
55131460101,7.34764E-05,0.000416057
55079080300,9.88894E-05,0.001077017
55089660304,5.28075E-05,0.000260369
55079001700,2.74407E-05,0.002936498
55133202600,0.000354036,0.00278175
55079185500,9.83399E-07,0.002433317
55079090700,3.5967E-05,0.000493688
55131420200,0.000125652,0.001681866
55079150100,0.000397166,0.001465889
55079160203,0.00037892,0.00242133
55079009100,4.42717E-06,0.002651752
55079009200,2.10177E-05,0.001933366
55079006700,1.56354E-07,0.00226605
55131420104,9.88515E-05,0.001054423
55079150303,0.000115918,0.000701851
55133203802,0.000125936,0.000577109
55133201203,6.23217E-05,0.000140729
55079170400,0.00016158,6.83683E-05
55079009300,6.87336E-05,0.001410142
55079004800,2.87464E-06,0.005351035
55079020000,0.000522773,0.002827817
55079005200,4.03769E-05,0.000575662
55079009500,6.5124E-05,0.00122338
55079014700,0.000107036,0.001889821
55079008500,1.69951E-07,0.001737166
55079012200,2.01793E-05,0.002880047
55079002000,9.82591E-06,0.002332294
55079006400,3.25202E-07,0.003488884
55079006800,1.4532E-06,0.002529172
55089610102,0.000135932,0.000798832
55079017100,0.000384493,0.002222228
55079005000,5.6182E-05,0.002975096
55133200803,5.93842E-05,0.000871164
55079010700,0.000159062,0.002594163
55079001800,1.33887E-05,0.003711476
55079170300,0.000122581,0.001484753
55079130200,9.22433E-05,0.001283277
55079020500,0.000572757,0.001855545
55079180400,0.000115301,0.001100611
55079000101,4.31083E-05,0.004510926
55131450105,4.60501E-05,0.000197899
55079008700,4.84573E-07,0.001934566
55079150301,0.000220481,0.001669213
55079007000,1.07849E-05,0.003023415
55133200400,0.000108393,0.000821525
55133203500,8.76133E-05,0.00045457
55079185400,9.91717E-07,0.00193449
55079013600,3.89858E-05,0.0032551
55079070100,0.000128189,0.000436656
55089650200,8.43543E-05,0.001099902
55079091200,0.000112715,0.001736365
55133201900,8.64945E-05,4.89449E-05
55133203602,0.000127152,0.00164684
55079014800,6.08627E-05,0.00215634
55133203406,7.90139E-05,0.000296395
55079021300,0.000240348,0.001152588
55133201101,0.000122162,0.001147707
55079002800,5.36056E-06,0.002732663
55079100500,0.000265765,0.001937126
55131440104,0.000269844,0.002247206
55079186100,4.15227E-06,0.002723515
55079011300,5.8173E-05,0.001397035
55133203403,9.08631E-05,0.000204415
55079004600,3.9614E-07,0.003344565
55079003300,4.33846E-05,0.002117939
55133203000,0.00020344,0.001128226
55079170100,0.000157964,0.00062217
55131400104,6.21982E-05,0.001544891
55079002100,7.80457E-06,0.002318475
55079186500,0.000280732,0.001424726
55131470203,9.31916E-05,0.001927457
55133201403,0.000121811,0.000251601
55131420105,0.000221677,0.002828884
55133204200,0.00021824,0.000807516
55133203803,6.9124E-05,0.000736885
55131440103,0.000138296,0.001266604
55079002300,4.34336E-06,0.003293121
55079011400,4.61023E-05,0.000609869
55079000600,5.18355E-05,0.003811134
55133200804,7.35414E-05,0.001014494
55079014100,1.24964E-05,0.001415868
55131440106,5.46019E-05,0.000505211
55079187200,0.000156041,0.000443781
55079003700,1.24879E-05,0.001120496
55131470202,0.000110203,0.001057724
55079070200,9.3135E-05,0.000466348
55079016200,0.000415898,0.003505515
55079000900,1.97753E-05,0.003904064
55079003500,2.26855E-05,0.001814017
55079018400,0.000161989,0.000853272
55079007600,5.85867E-05,0.003094163
55079008100,2.04059E-05,0.001799441
55079187400,6.43088E-05,0.00093219
55079101100,8.13063E-05,0.00084422
55079005800,9.65119E-05,0.001278484
55133202101,0.000112444,3.4269E-05
55079019000,0.00062664,0.001452411
55079101800,0.000141466,0.001007457
55079101500,0.000391629,0.00301886
55079001100,7.01065E-06,0.001682388
55079019100,0.000471594,0.002600043
55079120203,0.000259815,0.000952915
55133201300,0.000154667,0.001649845
55079185200,0.000444028,0.002106737
55079018200,7.91732E-05,0.000130367
55079021800,0.000241983,4.87957E-05
55079990000,0,0
55133201201,3.62615E-05,0.000276715
55079013300,6.52346E-05,0.001035667
55079180300,0.000314003,0.002895157
55079019200,0.000349973,0.000805429
55133200202,5.01354E-05,0.000275738
55089630201,9.7649E-05,0.001490226
55079021500,0.000314893,0
55133203704,7.9867E-05,0.000498567
55133200600,7.50118E-05,0.000726492
55133203200,5.36571E-05,0.000469684
55133202400,0.000329642,0.001066879
55133201202,0.00010972,0.001581009
55079080200,0.000116033,0.001289434
55089640100,0.000129104,0.001616299
55089650102,3.15403E-05,0.000613393